case_id,atlas_region_name,tumor_tag,voxel_count,count_scaled
BraTS20_Training_094,WM/unassigned,TC,214,3
BraTS20_Training_094,WM/unassigned,WT,17124,256
BraTS20_Training_094,Area STS2 (STS) right,WT,288,4
BraTS20_Training_094,Area Te 3 (STG) right,WT,781,12
BraTS20_Training_094,Area 44 (IFG) right,WT,22,0
BraTS20_Training_094,Area Fo6 (OFC) right,WT,162,2
BraTS20_Training_094,Frontal-to-Temporal-I (GapMap) right,WT,1,0
BraTS20_Training_094,Area Op9 (Frontal Operculum) right,WT,265,4
BraTS20_Training_094,Temporal-to-Parietal (GapMap) right,WT,351,5
BraTS20_Training_094,Area 45 (IFG) right,WT,273,4
BraTS20_Training_094,Area STS1 (STS) right,WT,22,0
BraTS20_Training_094,Area TeI (STG) right,WT,37,1
BraTS20_Training_094,WM/unassigned,ET,1100,16
