case_id,brats23_id,pred_index,atlas_region_id,atlas_region_name,brats_label,tumor_tag,voxel_count,count_scaled
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,0,WM/unassigned,1,TC,3549,17
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,9,region_9,1,TC,45,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,15,region_15,1,TC,503,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,16,region_16,1,TC,89,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,18,region_18,1,TC,65,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,23,region_23,1,TC,118,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,31,region_31,1,TC,315,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,39,region_39,1,TC,1,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,45,region_45,1,TC,150,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,47,region_47,1,TC,176,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,52,region_52,1,TC,14,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,63,region_63,1,TC,122,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,74,region_74,1,TC,1039,5
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,79,region_79,1,TC,131,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,88,region_88,1,TC,235,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,92,region_92,1,TC,30,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,93,region_93,1,TC,315,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,109,region_109,1,TC,62,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,113,region_113,1,TC,9,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,125,region_125,1,TC,27,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,131,region_131,1,TC,210,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,137,region_137,1,TC,192,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,138,region_138,1,TC,2,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,141,region_141,1,TC,2,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,151,region_151,1,TC,1216,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,156,region_156,1,TC,1278,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,158,region_158,1,TC,4,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,168,region_168,1,TC,103,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,169,region_169,1,TC,112,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,176,region_176,1,TC,118,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,178,region_178,1,TC,12,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,181,region_181,1,TC,217,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,184,region_184,1,TC,4,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,185,region_185,1,TC,48,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,190,region_190,1,TC,136,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,193,region_193,1,TC,28,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,194,region_194,1,TC,89,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,0,WM/unassigned,2,WT,53008,256
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,5,region_5,2,WT,144,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,6,region_6,2,WT,86,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,9,region_9,2,WT,70,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,12,region_12,2,WT,453,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,14,region_14,2,WT,157,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,15,region_15,2,WT,235,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,16,region_16,2,WT,34,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,18,region_18,2,WT,199,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,23,region_23,2,WT,800,4
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,24,region_24,2,WT,78,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,27,region_27,2,WT,523,3
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,31,region_31,2,WT,809,4
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,38,region_38,2,WT,222,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,39,region_39,2,WT,105,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,40,region_40,2,WT,9,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,42,region_42,2,WT,18,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,43,region_43,2,WT,28,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,44,region_44,2,WT,75,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,45,region_45,2,WT,1129,5
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,47,region_47,2,WT,135,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,49,region_49,2,WT,64,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,52,region_52,2,WT,1146,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,53,region_53,2,WT,1173,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,61,region_61,2,WT,14,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,63,region_63,2,WT,203,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,65,region_65,2,WT,7,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,66,region_66,2,WT,5,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,67,region_67,2,WT,32,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,68,region_68,2,WT,1197,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,74,region_74,2,WT,118,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,81,region_81,2,WT,408,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,85,region_85,2,WT,39,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,86,region_86,2,WT,204,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,88,region_88,2,WT,176,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,92,region_92,2,WT,207,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,93,region_93,2,WT,213,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,94,region_94,2,WT,28,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,103,region_103,2,WT,482,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,109,region_109,2,WT,149,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,113,region_113,2,WT,328,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,119,region_119,2,WT,43,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,124,region_124,2,WT,233,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,125,region_125,2,WT,9,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,131,region_131,2,WT,19,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,136,region_136,2,WT,751,4
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,137,region_137,2,WT,317,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,138,region_138,2,WT,22,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,141,region_141,2,WT,207,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,143,region_143,2,WT,70,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,145,region_145,2,WT,6,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,149,region_149,2,WT,6,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,151,region_151,2,WT,211,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,153,region_153,2,WT,49,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,154,region_154,2,WT,36,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,156,region_156,2,WT,398,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,158,region_158,2,WT,766,4
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,160,region_160,2,WT,1,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,162,region_162,2,WT,194,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,166,region_166,2,WT,84,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,168,region_168,2,WT,749,4
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,169,region_169,2,WT,189,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,172,region_172,2,WT,1183,6
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,173,region_173,2,WT,139,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,174,region_174,2,WT,25,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,176,region_176,2,WT,18,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,178,region_178,2,WT,2,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,180,region_180,2,WT,104,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,181,region_181,2,WT,168,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,184,region_184,2,WT,533,3
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,185,region_185,2,WT,137,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,188,region_188,2,WT,4,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,190,region_190,2,WT,42,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,191,region_191,2,WT,33,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,193,region_193,2,WT,33,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,194,region_194,2,WT,48,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,201,region_201,2,WT,153,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,202,region_202,2,WT,113,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,0,WM/unassigned,3,ET,6803,33
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,9,region_9,3,ET,3,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,15,region_15,3,ET,61,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,16,region_16,3,ET,30,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,18,region_18,3,ET,213,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,23,region_23,3,ET,203,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,24,region_24,3,ET,22,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,31,region_31,3,ET,481,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,38,region_38,3,ET,77,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,39,region_39,3,ET,159,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,45,region_45,3,ET,373,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,47,region_47,3,ET,70,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,52,region_52,3,ET,60,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,61,region_61,3,ET,83,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,63,region_63,3,ET,50,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,68,region_68,3,ET,4,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,74,region_74,3,ET,478,2
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,79,region_79,3,ET,42,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,81,region_81,3,ET,5,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,88,region_88,3,ET,69,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,92,region_92,3,ET,87,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,93,region_93,3,ET,269,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,103,region_103,3,ET,1,0
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,109,region_109,3,ET,111,1
BraTS20_Training_168,BraTS-GLI-01284-000,pred_0011,113,region_113,3,ET,187,1
