case_id,brats23_id,pred_index,atlas_region_id,atlas_region_name,brats_label,tumor_tag,voxel_count,count_scaled
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,0,WM/unassigned,1,TC,31439,251
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,9,region_9,1,TC,45,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,12,region_12,1,TC,452,4
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,23,region_23,1,TC,587,5
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,24,region_24,1,TC,15,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,27,region_27,1,TC,15936,127
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,31,region_31,1,TC,9,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,43,region_43,1,TC,1,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,45,region_45,1,TC,646,5
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,47,region_47,1,TC,26,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,52,region_52,1,TC,1255,10
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,63,region_63,1,TC,185,1
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,70,region_70,1,TC,55,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,74,region_74,1,TC,861,7
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,76,region_76,1,TC,16,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,77,region_77,1,TC,94,1
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,79,region_79,1,TC,2,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,81,region_81,1,TC,327,3
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,91,region_91,1,TC,904,7
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,99,region_99,1,TC,27,0
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,101,region_101,1,TC,264,2
BraTS20_Training_229,BraTS-GLI-00104-000,pred_0167,103,region_103,1,TC,557,4
